7	40	25	V	L	many	1	716	1
4	25	20	V	R	few	1	741	1
3	15	25	V	L	few	1	621	1
3	15	25	P	L	15	1	918	1
4	20	25	P	L	20	1	3584	1
7	40	25	P	L	40	1	1429	1
5	25	30	V	R	many	1	1326	1
6	35	25	V	L	many	1	981	1
1	5	25	P	L	5	1	647	1
7	25	40	P	R	40	1	1444	1
1	25	5	P	R	5	1	482	1
3	25	15	V	R	few	1	463	1
2	10	25	P	L	10	1	1694	1
5	30	25	V	L	many	1	1067	1
5	30	25	P	L	30	1	2943	1
6	25	35	P	R	35	1	804	1
8	45	25	V	L	many	1	512	1
1	25	5	V	R	few	1	456	1
3	25	15	P	R	15	1	691	1
8	25	45	V	R	many	1	739	1
1	5	25	V	L	few	1	457	1
2	10	25	V	L	few	1	469	1
6	25	35	V	R	many	1	427	1
4	20	25	V	L	few	1	1024	1
5	25	30	P	R	30	1	840	1
2	25	10	V	R	few	1	512	1
8	45	25	P	L	45	1	575	1
8	25	45	P	R	45	1	535	1
4	25	20	P	R	20	1	4862	1
6	35	25	P	L	35	1	883	1
2	25	10	P	R	10	1	939	1
7	25	40	V	R	many	1	515	1
4	20	25	P	L	20	1	5260	1
2	25	10	P	R	10	1	614	1
7	25	40	P	R	40	1	539	1
5	30	25	P	L	30	1	1478	1
8	25	45	V	R	many	1	509	1
3	15	25	V	L	few	1	478	1
8	45	25	V	L	many	1	445	1
3	25	15	P	R	15	1	784	1
4	25	20	P	R	20	1	1306	1
1	25	5	V	R	few	1	411	1
8	45	25	P	L	45	1	493	1
6	25	35	V	R	many	1	764	1
2	10	25	P	L	10	1	829	1
1	5	25	P	L	5	1	485	1
1	25	5	P	R	5	1	420	1
6	35	25	P	L	35	1	668	1
5	25	30	P	R	30	1	652	1
4	20	25	V	L	few	1	690	1
1	5	25	V	L	few	1	437	1
6	25	35	P	R	35	1	659	1
3	15	25	P	L	15	1	1272	1
5	25	30	V	R	many	1	1419	0
6	35	25	V	L	many	1	1043	1
5	30	25	V	L	many	1	743	1
7	40	25	P	L	40	1	712	1
2	10	25	V	L	few	1	488	1
3	25	15	V	R	few	1	534	1
7	40	25	V	L	many	1	491	1
7	25	40	V	R	many	1	529	1
8	25	45	P	R	45	1	612	1
2	25	10	V	R	few	1	546	1
4	25	20	V	R	few	1	1333	1
2	25	10	P	R	10	1	803	1
1	25	5	P	R	5	1	429	1
6	35	25	P	L	35	1	707	1
3	25	15	V	R	few	1	525	1
8	25	45	V	R	many	1	515	1
7	40	25	V	L	many	1	598	1
3	25	15	P	R	15	1	534	1
8	45	25	V	L	many	1	464	1
1	25	5	V	R	few	1	434	1
6	35	25	V	L	many	1	469	1
